Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.TalkMore,Answer.continuation,Answer.change,Answer.elaboration,,"I love ""Game of Thrones,"" but I really loved the books even more.",Do you think the series deviated too much from the books at all?,"I think that a book and a show are two totally different things, two widely apart mediums to convey a story.",True.  Like how there was this outrage over the way Peter Jackson did Lord of the Rings. They guy did the best he could given the circumstances. You can't really account for everyone's individual interpretation of a book.,"Yeah, people see the characters in their mind as one thing, have a feel for them, then boom, on screen a whole different idea.",
Answer.TalkMore,Answer.continuation,Answer.change,Answer.continuation,,"I love ""Game of Thrones,"" but I really loved the books even more.",Do you think the series deviated too much from the books at all?,"I think that a book and a show are two totally different things, two widely apart mediums to convey a story.",True.  Like how there was this outrage over the way Peter Jackson did Lord of the Rings. They guy did the best he could given the circumstances. You can't really account for everyone's individual interpretation of a book.,"I think it is hard to convey the feeling of a book to film.Someone is going to be mad, since everyone experiences a book differently.",
Answer.TalkMore,Answer.continuation,Answer.change,,,"I love ""Game of Thrones,"" but I really loved the books even more.",Do you think the series deviated too much from the books at all?,"I think that a book and a show are two totally different things, two widely apart mediums to convey a story.",True.  Like how there was this outrage over the way Peter Jackson did Lord of the Rings. They guy did the best he could given the circumstances. You can't really account for everyone's individual interpretation of a book.,,
Answer.rhetorical,,,,,"I love ""Game of Thrones,"" but I really loved the books even more.",But who doesn't like a man in a man bun?,,,,
Answer.TalkMore,Answer.continuation,Answer.continuation,,,"I love ""Game of Thrones,"" but I really loved the books even more.",Do you think the series deviated too much from the books at all?,"I think that a book and a show are two totally different things, two widely apart mediums to convey a story.",True. I never could get into the books. It was like swimming through a pool of peanut butter.,,
Answer.positive,,,,,"I love the shower scene in ""Elf."" They sing so well together.",I love Elf and I love Christmas.,,,,
Answer.rhetorical,,,,,"I love the shower scene in ""Elf."" They sing so well together.",Who doesn't love Christmas?!,,,,
Answer.positive,Answer.continuation,Answer.change,Answer.continuation,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",I have to admit it was nice to see Will Ferrell in a more family friendly role.  Most of his roles are a bit more on the raunchy side.  A few I had to turn off without finishing.  A bit much for me.,"I know what you mean, the first that comes to mind is Anchorman.",
Answer.TalkMore,,,,,"I love the shower scene in ""Elf."" They sing so well together.",What is your favorite part about Christmas in general?,,,,
Answer.rhetorical,,,,,"I love the shower scene in ""Elf."" They sing so well together.",Who doesn't love that scene?  It was one of the best in the movie!,,,,
Answer.negative,,,,,"I love the shower scene in ""Elf."" They sing so well together.",I really didn't care for the movie at all.  I actually don't even remember that scene.,,,,
Answer.TalkMore,,,,,"I love the shower scene in ""Elf."" They sing so well together.",I liked it too.  Did they include that on the soundtrack?,,,,
Answer.TalkMore,,,,,"I love the shower scene in ""Elf."" They sing so well together.",Are you sure you only like that scene for the singing? Zooey looks pretty good there and there is the implication that she's nude. Do you think it was more of a schoolboy fantasy of being in the girl's locker room that made you like it?,,,,
Answer.positive,Answer.continuation,Answer.change,Answer.change,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",I have to admit it was nice to see Will Ferrell in a more family friendly role.  Most of his roles are a bit more on the raunchy side.  A few I had to turn off without finishing.  A bit much for me.,"You want to talk about dirty movies, let's look at Zach Galifinakas. He can't ever be in a clean role.",
Answer.positive,Answer.elaboration,,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","It revolved around such a subtle sea change in the relationship that seeing it felt honestly heart-raising. I mean, it was cute.",,,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","We should throw a ELF themed Christmas party this year.  We could serve the four main food groups: candy, candy canes, candy corn, and syrup.",,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,Answer.joking_sarcastic,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","We should throw a ELF themed Christmas party this year.  We could serve the four main food groups: candy, candy canes, candy corn, and syrup.","If we have the four main food groups, they have to be served with or on a plate of Spaghetti!",
Answer.positive,Answer.continuation,Answer.joking_sarcastic,Answer.elaboration,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","We should throw a ELF themed Christmas party this year.  We could serve the four main food groups: candy, candy canes, candy corn, and syrup.","We could set up a fake toy store and trash the place, or have our own montage of setting up the decorations!",
Answer.positive,Answer.change,,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I'm not sure about the rest of the movie though. You saw it, right? It wasn't too great.",,,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,Answer.change,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","We should throw a ELF themed Christmas party this year.  We could serve the four main food groups: candy, candy canes, candy corn, and syrup.","When was the last time anyone ate candy corn, it's so terrible.",
Answer.negative,,,,,"I love the shower scene in ""Elf."" They sing so well together.",I hate the movie Elf and everything about Christmas.,,,,
Answer.positive,Answer.continuation,,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",,,
Answer.positive,,,,,"I love the shower scene in ""Elf."" They sing so well together.",The shower scene was great.  I do love the whole movie though.,,,,
Answer.negative,,,,,"I love the shower scene in ""Elf."" They sing so well together.",I didn't like it so much. It's too much titillation for a kid's movie. There's no reason to make kids see a girl in the shower and a boy in the girl's locker room. It puts bad thoughts in their heads.,,,,
Answer.positive,Answer.joking_sarcastic,,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.",Generally any scene with naked people in the shower together owns.,,,
Answer.rhetorical,,,,,"I love the shower scene in ""Elf."" They sing so well together.",It really seemed like they were a little out of synch to me. I wonder if they shot that whole scene together or if they did her singing in the shower as a separate shooting and his  singing while sitting on the sink as another shooting?,,,,
Answer.positive,Answer.continuation,Answer.change,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",I have to admit it was nice to see Will Ferrell in a more family friendly role.  Most of his roles are a bit more on the raunchy side.  A few I had to turn off without finishing.  A bit much for me.,,
Answer.positive,Answer.continuation,Answer.change,Answer.joking_sarcastic,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",I have to admit it was nice to see Will Ferrell in a more family friendly role.  Most of his roles are a bit more on the raunchy side.  A few I had to turn off without finishing.  A bit much for me.,"""What do you mean?"" ""You have a massive..."" haha",
Answer.positive,Answer.continuation,Answer.change,Answer.elaboration,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",I have to admit it was nice to see Will Ferrell in a more family friendly role.  Most of his roles are a bit more on the raunchy side.  A few I had to turn off without finishing.  A bit much for me.,"I agree, his moves seem a little dirtier than most, but that's what some people think is funny. I personally like Anchorman, and Old School.",
Answer.positive,Answer.continuation,Answer.continuation,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.",Right.  There was a certain innocence to that movie that I think was really one of its biggest strengths.  The shower scene is a perfect example of it.,,
Answer.positive,Answer.continuation,Answer.joking_sarcastic,Answer.continuation,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","We should throw a ELF themed Christmas party this year.  We could serve the four main food groups: candy, candy canes, candy corn, and syrup.","Yea I'd love that! We could have toys out, legos and fake snow!",
Answer.positive,,,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.",,,,
Answer.positive,Answer.continuation,Answer.elaboration,,,"I love the shower scene in ""Elf."" They sing so well together.","I know, that is one of the BEST shower scenes in the history of movies because it was part of the plot and it wasn't about nudity.","I liked the way the camera gave her a sort of subtle grace and didn't try to go for titillation. She was vaguely, like, ethereal.","I have heard that some people disagree though.  There is a theory that he actually was there because he knew she was naked.  The theory comes from the fact that earlier in the movie, he took a shower without any clothes so he must have known showers involved nudity.  I think people may be reading too much into it.",,
Answer.rhetorical,,,,,"I love the way ""Glee"" revisits old hit songs.",Is there a Broadway song that Glee hasn't tried?,,,,
Answer.negative,,,,,"I love the way ""Glee"" revisits old hit songs.","The people on ""Glee"" cannot sing.",,,,
Answer.negative,,,,,"I love the way ""Glee"" revisits old hit songs.",It is a little hokey though due to the whole high school setting thing.,,,,
Answer.TalkMore,,,,,"I love the way ""Glee"" revisits old hit songs.",Who is your favorite character on Glee?,,,,
Answer.rhetorical,,,,,"I love the way ""Glee"" revisits old hit songs.",Why would anyone want to watch any other kind of show involving music?,,,,
Answer.positive,,,,,"I love the way ""Glee"" revisits old hit songs.","""Glee"" introduces young audiences to classic  pop music.",,,,
Answer.negative,,,,,"I love the way ""Glee"" revisits old hit songs.",i think not,,,,
Answer.positive,,,,,"I love the way ""Glee"" revisits old hit songs.",yes they did a splendid job,,,,
Answer.TalkMore,,,,,"I love the way ""Glee"" revisits old hit songs.","of course, tell me more about it!",,,,
Answer.positive,,,,,"I love the way ""Glee"" revisits old hit songs.",Yes that show has great music.,,,,
Answer.TalkMore,,,,,"I love the way ""Glee"" revisits old hit songs.","You know, some of the male characters are really good looking.",,,,
Answer.rhetorical,,,,,"I love the way ""Glee"" revisits old hit songs.",what are you talking about?,,,,
Answer.positive,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah, Mini Me was cool. I was at the grocery store the other day and I saw a mini me of myself, it was so bizarre.","Oh, One Million dollars....worth of quotes.",
Answer.positive,Answer.change,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"Spoofing the spy genre is a lot of fun. The took the telephone ring from Our Man Flynt, which was from way back in the 60s itself.",,,
Answer.positive,Answer.change,Answer.change,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"Spoofing the spy genre is a lot of fun. The took the telephone ring from Our Man Flynt, which was from way back in the 60s itself.",Who did you think made the best Bond villain?,,
Answer.positive,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,,,,
Answer.positive,Answer.continuation,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,One MILLION dollars.,,,
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.joking_sarcastic,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","I don't know the badly burned joke but my favorite Austin Powers movie is Goldmember. ""Daddy wasn't there...""","I could tell you where the badly burned joke came from, for 1 million dollars! *raises pinky to mouth*",
Answer.positive,Answer.elaboration,Answer.continuation,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah! My favorite line is ""MOOOOOOOLE... MOLEY MOLEY MOLEY""",,
Answer.positive,Answer.change,Answer.joking_sarcastic,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"Spoofing the spy genre is a lot of fun. The took the telephone ring from Our Man Flynt, which was from way back in the 60s itself.","It's sort of funny when you think about how Austin Powers is essentially a Mike Meyers, Inception fever dream.",,
Answer.positive,Answer.change,Answer.elaboration,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"Spoofing the spy genre is a lot of fun. The took the telephone ring from Our Man Flynt, which was from way back in the 60s itself.","And, don't even get me started on the ridiculous escapes from the jaws of death.  Classic!",,
Answer.positive,Answer.joking_sarcastic,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,I can't believe they went in such a different direction with the Daniel Craig reboot.,,,
Answer.positive,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,"Sometimes childish stuff owns, a little silly jokes like make everything else work.",,,,
Answer.negative,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,I don't think those movies hold up very well. They were funny at the time but a lot of the jokes feel dated and repetitive now.,,,,
Answer.TalkMore,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Did you see the one with Beyonce in it?,,,,
Answer.positive,Answer.change,Answer.continuation,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"Spoofing the spy genre is a lot of fun. The took the telephone ring from Our Man Flynt, which was from way back in the 60s itself.",Right? The cheeky little car that Austin drove around was a direct homage to Bond's ride.,,
Answer.positive,Answer.elaboration,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""",,,
Answer.positive,Answer.elaboration,Answer.change,Answer.change,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah, Mini Me was cool. I was at the grocery store the other day and I saw a mini me of myself, it was so bizarre.","Films with time travel, that play on how much things have changes, like a million not being that much at the time he was in when he asked for it, always make for really funny situations.",
Answer.rhetorical,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Is there a fart joke Mike Myers hasn't explored?,,,,
Answer.TalkMore,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Are you a fan of comedy movies? Which are some of your favorites? Maybe you can give me some recommendations.,,,,
Answer.rhetorical,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Are you not a fan of comedies?,,,,
Answer.TalkMore,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Losing my shit about Austin Powers. I'm a massive fan of the series.,,,,
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.elaboration,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","I don't know the badly burned joke but my favorite Austin Powers movie is Goldmember. ""Daddy wasn't there...""","The ""I'm very badly burned."" was from the first movie, where Dr. Evil sent Will Ferrel's character through the trap door under his seat to the lave fire pit.",
Answer.positive,Answer.elaboration,Answer.change,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah, Mini Me was cool. I was at the grocery store the other day and I saw a mini me of myself, it was so bizarre.",,
Answer.positive,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,I love them too. Mike Myers is a genius.,,,,
Answer.positive,Answer.elaboration,Answer.change,Answer.elaboration,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah, Mini Me was cool. I was at the grocery store the other day and I saw a mini me of myself, it was so bizarre.","I think that whole show was a great outlet for one liners, Dr. Evil, was just amazing in the whole thing.",
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.continuation,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","I don't know the badly burned joke but my favorite Austin Powers movie is Goldmember. ""Daddy wasn't there...""","I think my favorite was the first, and the whole scene with the Fembots fighting to that one song, ""and these boots will walk all over you...""",
Answer.positive,Answer.elaboration,Answer.elaboration,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","I don't know the badly burned joke but my favorite Austin Powers movie is Goldmember. ""Daddy wasn't there...""",,
Answer.positive,Answer.elaboration,Answer.change,Answer.continuation,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Yeah, Mini Me was cool. I was at the grocery store the other day and I saw a mini me of myself, it was so bizarre.",The spoof movies sometimes led the way for the best quotable and supporting roles. Mini me was just a treasure trove of quotables.,
Answer.negative,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,"You're right, however, I could do without his crude bathroom humor.",,,,
Answer.positive,Answer.elaboration,Answer.joking_sarcastic,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","Oh yeah, the jokes are sooo ""funny,"" I love jokes about farts and sex.",,
Answer.negative,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,I love childish humor but Austin was too much. Too many jokes one after another.,,,,
Answer.positive,Answer.elaboration,Answer.elaboration,Answer.change,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,The Austin Powers movies are a really fun spoof series. There are so many memorable characters and quotable lines.,"The main characters were fun, but I especially liked the way they use side characters for jokes. ""I'm very badly burned.""","I don't know the badly burned joke but my favorite Austin Powers movie is Goldmember. ""Daddy wasn't there...""",Did you see how they incorporate Beyonce into Goldmember? What do you think of her as an actress?,
Answer.rhetorical,,,,,I loved the Austin Powers movies. They make me laugh though some of the jokes were childish.,Who doesn't remember those movies? They were so popular at the time. Everyone used to quote those characters.,,,,
Answer.negative,Answer.joking_sarcastic,Answer.elaboration,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, Dwight was such a helpful guy. He was always so supportive of everyone else. It was heartwarming.","Yeah, he was a really nice guy, he was probably my favorite character in the whole series.",,
Answer.negative,Answer.joking_sarcastic,Answer.change,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, Dwight was such a helpful guy. He was always so supportive of everyone else. It was heartwarming.","I really haven't seen the Office but I know it's really good, it's been recommended to me by a lot of people. I have to watch that and a lot of other shows soon!",,
Answer.negative,Answer.elaboration,Answer.change,Answer.change,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I like the slow pacing of sitcoms sometimes, you know? When they take their time with a will they or wont they relationship? The kind that keep me wondering for more than two episodes.","I hate when I am let down by the ending of it all though. Like HIMYM, I gave so much time to that show. Just to be let down by how it all ended up.",
Answer.rhetorical,,,,,"I prefer the Amercian verision of ""The Office.""",How can you choose when both versions are so great?,,,,
Answer.positive,,,,,"I prefer the Amercian verision of ""The Office.""",I love that version. It's funnier than the UK verision.,,,,
Answer.negative,Answer.elaboration,Answer.change,Answer.joking_sarcastic,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I like the slow pacing of sitcoms sometimes, you know? When they take their time with a will they or wont they relationship? The kind that keep me wondering for more than two episodes.","Oh, you want the creators to know EXACTLY what you want them to do?",
Answer.positive,,,,,"I prefer the Amercian verision of ""The Office.""","Oh yeah! I thought it was hilarious! Great acting, great jokes, wonderful writing - it has it all!",,,,
Answer.negative,Answer.continuation,Answer.elaboration,Answer.change,,"I prefer the Amercian verision of ""The Office.""","Personally, I think it pales in comparison to the original British version, which had far smarter comedy and better writing!","That's just objectively untrue! The American version is so, so funny-- honestly some of the best TV writing I've ever seen. Especially the character of Michael Scott.","Michael Scott was great, but do you remember the last season?  It just wasn't the same with Andy Bernard as the boss.  I think they should have ended the show when Michael Scott left.  Then at least they would have went out on a high note.",I hate when shoes go off on silly tangents just to keep making money from viewers. I like shows to end strong.,
Answer.negative,Answer.elaboration,Answer.elaboration,Answer.elaboration,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I think it was great how they turned the everyday in to wacky, but somehow still made it believable. I could relate to the lives of both the sets of characters. The boring to the extraordinary, really similar to real life. But far enough out there to be entertainment. The characters really develop well, but not so much it is not believable.","Yeah, it just makes it seem like life isn't so bad after all if we can just find some humor, and the romance is sooooo addictive.",
Answer.negative,Answer.joking_sarcastic,,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, Dwight was such a helpful guy. He was always so supportive of everyone else. It was heartwarming.",,,
Answer.negative,Answer.joking_sarcastic,Answer.continuation,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, Dwight was such a helpful guy. He was always so supportive of everyone else. It was heartwarming.","Yeah, he was a nice guy, but I do still prefer the UK version.",,
Answer.negative,Answer.joking_sarcastic,Answer.joking_sarcastic,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, Dwight was such a helpful guy. He was always so supportive of everyone else. It was heartwarming.","Yeah, it was so supportive how he stabbed that woman in the chest at the coffee machine.",,
Answer.negative,,,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,,,,
Answer.negative,Answer.continuation,Answer.change,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,No way! Michael Scott in the American version is amazing. Steve Carrel's timing in that show is insanely good. He took dry comedy to an entirely new level.,Do you like that old show Dinosaurs? That one is way better.,,
Answer.negative,Answer.continuation,Answer.joking_sarcastic,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,No way! Michael Scott in the American version is amazing. Steve Carrel's timing in that show is insanely good. He took dry comedy to an entirely new level.,I'd get more humor out of working at a real office.,,
Answer.negative,Answer.elaboration,Answer.change,Answer.elaboration,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I like the slow pacing of sitcoms sometimes, you know? When they take their time with a will they or wont they relationship? The kind that keep me wondering for more than two episodes.","I like when the tension really builds. In the romance department, or just in general. A slow burn of the plot, but not so slow I lose interest in the series as a whole, you know?",
Answer.negative,Answer.elaboration,Answer.change,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I like the slow pacing of sitcoms sometimes, you know? When they take their time with a will they or wont they relationship? The kind that keep me wondering for more than two episodes.",,
Answer.negative,Answer.continuation,Answer.continuation,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,No way! Michael Scott in the American version is amazing. Steve Carrel's timing in that show is insanely good. He took dry comedy to an entirely new level.,"Look, I just don't like the American version. It does not have good humor and that Jim guy looks at the camera too much.",,
Answer.negative,Answer.elaboration,,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.",,,
Answer.negative,Answer.elaboration,Answer.continuation,Answer.elaboration,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","The two really have similar, but different types of comedy. The  american version really played up the comedic romance, while the UK was more the dull, but funny, dry British humor. I like the differences is, and the fact they both had a variety of real life comedy.","I like the weird off dry humor British shows have,the sort of self aware kind. Self deprecating.",
Answer.negative,Answer.change,,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,Did you see John Krasinski in 13 hours? He got really buff. Plus that was an amazing movie.,,,
Answer.negative,Answer.continuation,,,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,No way! Michael Scott in the American version is amazing. Steve Carrel's timing in that show is insanely good. He took dry comedy to an entirely new level.,,,
Answer.negative,Answer.elaboration,Answer.change,Answer.continuation,,"I prefer the Amercian verision of ""The Office.""",I did not like the American version. It did not have the same witty humor as the UK version,"Plus, how can you not like the Jim and Pam romance? Jim waits on her for so long, it's practically a decade in TV years. The pacing on that show was great.","I like the slow pacing of sitcoms sometimes, you know? When they take their time with a will they or wont they relationship? The kind that keep me wondering for more than two episodes.","The slow pacing of romance really gets me into the show, or at least the romance aspect on sitcoms. It makes the rest of it seem more meaningful, I feel more like I am a part of their world if I have to wonder a bit.",
